"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2017 - Anni 2017/2065"
"Anno: 2017 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
13;570521;570521;570521;570521;570521;570521;570521;
14;566889;566889;566889;566889;566889;566889;566889;
15;572349;572349;572349;572349;572349;572349;572349;
16;582474;582474;582474;582474;582474;582474;582474;
17;573303;573303;573303;573303;573303;573303;573303;
18;578810;578810;578810;578810;578810;578810;578810;
19;581868;581868;581868;581868;581868;581868;581868;
20;585078;585078;585078;585078;585078;585078;585078;
21;585877;585877;585877;585877;585877;585877;585877;
22;593586;593586;593586;593586;593586;593586;593586;
23;607651;607651;607651;607651;607651;607651;607651;
24;634357;634357;634357;634357;634357;634357;634357;
25;634848;634848;634848;634848;634848;634848;634848;
26;648330;648330;648330;648330;648330;648330;648330;
27;648589;648589;648589;648589;648589;648589;648589;
28;664872;664872;664872;664872;664872;664872;664872;
29;653127;653127;653127;653127;653127;653127;653127;
30;657812;657812;657812;657812;657812;657812;657812;
31;679619;679619;679619;679619;679619;679619;679619;
32;692137;692137;692137;692137;692137;692137;692137;
33;704507;704507;704507;704507;704507;704507;704507;
34;728863;728863;728863;728863;728863;728863;728863;
35;735036;735036;735036;735036;735036;735036;735036;
36;753898;753898;753898;753898;753898;753898;753898;
37;777411;777411;777411;777411;777411;777411;777411;
38;818918;818918;818918;818918;818918;818918;818918;
39;845461;845461;845461;845461;845461;845461;845461;
40;882398;882398;882398;882398;882398;882398;882398;
41;923309;923309;923309;923309;923309;923309;923309;
42;960491;960491;960491;960491;960491;960491;960491;
43;954518;954518;954518;954518;954518;954518;954518;
44;963990;963990;963990;963990;963990;963990;963990;
45;973304;973304;973304;973304;973304;973304;973304;
46;964779;964779;964779;964779;964779;964779;964779;
47;991157;991157;991157;991157;991157;991157;991157;
48;984118;984118;984118;984118;984118;984118;984118;
49;987670;987670;987670;987670;987670;987670;987670;
50;995719;995719;995719;995719;995719;995719;995719;
51;993396;993396;993396;993396;993396;993396;993396;
52;1005849;1005849;1005849;1005849;1005849;1005849;1005849;
53;943483;943483;943483;943483;943483;943483;943483;
54;911504;911504;911504;911504;911504;911504;911504;
55;892319;892319;892319;892319;892319;892319;892319;
56;864094;864094;864094;864094;864094;864094;864094;
57;842749;842749;842749;842749;842749;842749;842749;
58;804175;804175;804175;804175;804175;804175;804175;
59;795708;795708;795708;795708;795708;795708;795708;
60;778463;778463;778463;778463;778463;778463;778463;
61;762408;762408;762408;762408;762408;762408;762408;
62;749469;749469;749469;749469;749469;749469;749469;
63;713618;713618;713618;713618;713618;713618;713618;
64;700842;700842;700842;700842;700842;700842;700842;
65;696836;696836;696836;696836;696836;696836;696836;
66;720370;720370;720370;720370;720370;720370;720370;
67;721728;721728;721728;721728;721728;721728;721728;
68;749912;749912;749912;749912;749912;749912;749912;
69;729991;729991;729991;729991;729991;729991;729991;
70;725276;725276;725276;725276;725276;725276;725276;
71;556615;556615;556615;556615;556615;556615;556615;
72;568381;568381;568381;568381;568381;568381;568381;
73;568148;568148;568148;568148;568148;568148;568148;
74;559159;559159;559159;559159;559159;559159;559159;
75;555820;555820;555820;555820;555820;555820;555820;
76;602993;602993;602993;602993;602993;602993;602993;
